accession	proposed_species
NC_023766	Reptarenavirus giessenae
KF297880	Reptarenavirus giessenae
KX527579	Reptarenavirus giessenae
KR870011	Reptarenavirus giessenae
KX527576	Reptarenavirus giessenae
MH483080	Reptarenavirus giessenae
KP071630	Reptarenavirus giessenae
KP071472	Reptarenavirus giessenae
KR870016	Reptarenavirus giessenae
KP071541	Reptarenavirus giessenae
KP071559	Reptarenavirus giessenae
MN567052	Reptarenavirus giessenae
MN567042	Reptarenavirus giessenae
KP071644	Reptarenavirus giessenae
JQ717262	Reptarenavirus giessenae
MH503957	Reptarenavirus giessenae
MH483056	Reptarenavirus giessenae
OR194166	Reptarenavirus giessenae
NC_023761	Reptarenavirus giessenae
MN567058	Reptarenavirus giessenae
KC508669	Reptarenavirus giessenae
KP071501	Reptarenavirus giessenae
KR870019	Reptarenavirus giessenae
KX527581	Reptarenavirus giessenae
KP071471	Reptarenavirus giessenae
KR870014	Reptarenavirus giessenae
MZ818776	Reptarenavirus giessenae
KC508668	Reptarenavirus giessenae
KC508665	Reptarenavirus giessenae
KC508667	Reptarenavirus giessenae
KC508666	Reptarenavirus giessenae
KC508664	Reptarenavirus giessenae
KY072972	Reptarenavirus giessenae
KY072971	Reptarenavirus giessenae
KY072970	Reptarenavirus giessenae
KY072969	Reptarenavirus giessenae
