accession	organism	taxid	segment	description	isolate	strain
KP071583	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S5)
MH503954	University of Giessen virus	1672385	S	University of Giessen virus strain S14-369-79_8 segment S, complete sequence	University of Giessen virus-1	S14-369-79_8
OM456558	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild4-FFPE segment S, complete sequence	CR-wild4-FFPE	NA
MH483076	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S14-1477-78_8 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-1477-78_8	NA
KP071543	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake18/2011 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake18/2011 (S6)
KP071538	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (S6) segment S glycoprotein (GPC) gene, complete cds; and nucleoprotein (NP) gene, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (S6)
KP071532	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake1/2009 (S1) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake1/2009 (S1)
KP071530	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake2/2009 (S1) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake2/2009 (S1)
MH483088	S7-like reptarenavirus	2448019	S	S7-like reptarenavirus isolate S17-172_7 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S17-172_7	NA
KR870018	Aurora borealis virus	1672381	S	Aurora borealis virus strain ABV-2 segment S GPC and NP genes, complete cds	2	ABV-2
