accession	organism	taxid	segment	description	isolate	strain
MH483081	Suri Vanera virus 2	2447939	L	Suri Vanera virus 2 isolate S15-0040_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S15-0040_6	NA
KX527588	Kuka mitae haeh virus	1938701	L	Kuka mitae haeh virus clone KMHV-1_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KMHV1	NA
MH483074	Suri Vanera virus 2	2447939	L	Suri Vanera virus 2 isolate S14-1477-78_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_6	NA
KP071593	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L12) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L12)
KP071550	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L12) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L12)
MH483064	Suri Vanera virus 2	2447939	L	Suri Vanera virus 2 isolate S14-369-79_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-369-79_6	NA
KP071664	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L2)
KP071645	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L2)
KX527592	Aurora borealis virus	1672381	L	Aurora borealis virus clone ABV-4_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	ABV4	NA
KR870033	Aurora borealis virus	1672381	L	Aurora borealis virus strain ABV-2 segment L Z protein and RdRp genes, complete cds	2	ABV-2
KX527585	Suri Vanera virus	1672383	L	Suri Vanera virus clone SVaV-1_L_F15158 Z-protein and RNA-dependent RNA polymerase genes, complete cds	SVaV1	NA
KP071552	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L21)
NC_023765	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-1 segment L, complete sequence	1	UHV-1
KF297881	University of Helsinki virus 1	2848327	L	University of Helsinki virus 1 strain UHV-1 segment L, complete sequence	1	UHV-1
KP071600	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L7)
KP071579	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L7)
NC_023762	ROUT virus	1303019	L	Boa arenavirus NL isolate 3 segment L, complete sequence	3	NA
KX527587	Suri Vanera virus	1672383	L	Suri Vanera virus clone SVaV-2_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	SVaV2	NA
KC508670	ROUT virus	1303019	L	Boa arenavirus NL isolate 3 segment L, complete sequence	3	NA
KP071647	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L11)
KP071623	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L11)
KP071638	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L11)
KP071561	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L22)
MH483053	University of Helsinki virus 3	2447932	L	University of Helsinki virus 3 isolate F17-0012_11 segment L Z protein (ZP) gene, complete cds	F17-0012_11	NA
KP071611	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake8/2010 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake8/2010 (L2)
KP071519	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L18)
KP071507	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Washington/snake20/2012 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Washington/snake20/2012 (L18)
KP071481	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Washington/snake21/2012 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Washington/snake21/2012 (L18)
KP071479	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L18)
KP071476	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L22)
MN567060	Aramboia boa virus-1	2707726	L	Aramboia boa virus-1 isolate 1164-18_ArBV-1 segment L, complete sequence	1164-18_ArBV-1	NA
MH503952	University of Helsinki virus	1382279	L	University of Helsinki virus strain F17-0012_11 segment L, complete sequence	University of Helsinki virus-3	F17-0012_11
MH483078	Aurora borealis virus 4	2447933	L	Aurora borealis virus 4 isolate S15-0040_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S15-0040_3	NA
MH483065	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate S14-369-79_7 segment L Z protein (ZP) gene, complete cds	S14-369-79_7	NA
KX527591	Tavallinen suomalainen mies virus	1672384	L	Tavallinen suomalainen mies virus clone TSMV-2_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	TSMV2	NA
KP071660	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L2)
KP071653	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L11)
KP071640	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L21)
KP071631	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake7/2008 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake7/2008 (L2)
KP071628	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake38/2009 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake38/2009 (L18)
KP071616	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L18)
KP071605	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake9/2010 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake9/2010 (L2)
KP071601	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L18)
KP071595	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L18)
KP071514	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L18)
KP071475	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L2)
MH503953	Tavallinen suomalainen mies virus	1672384	L	Tavallinen suomalainen mies virus strain S14-369-79_7 segment L, complete sequence	Tavallinen suomalainen mies virus-1	S14-369-79_7
KR870032	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-3 segment L Z protein and RdRp genes, complete cds	3	UHV-3
KP071585	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L18)
KP071568	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L18)
MH483071	Aurora borealis virus 4	2447933	L	Aurora borealis virus 4 isolate S14-1477-78_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_3	NA
KX527599	Suri Vanera virus	1672383	L	Suri Vanera virus clone SVaV-2_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	SVaV2	NA
